Do Not Publish	Business Owner Name	Business Name	Street Number	Street Name	Suite Number	P.O. Box Number	PMB Number	City	State	 Zip 	 Home Based 	 Primary NAICS #	 NAICS Description 	 New Business? 	Business Start	Business Expiration	Ownership Type	# Employees	Council District	Business Community	BID	BID Description
N	WALTON HANISH	CAREFREE COMPLETE AUTO REPAIR	6556	EL CAJON BLVD 				SAN DIEGO	CA	92115-2707	N	81111	AUTO REPAIR SERVICES	N	10/1/2004	9/30/2021	SOLE	0	9	COLLEGE AREA	21	COLLEGE AREA
N	CARMENS DANCE SHOES LLC	CARMENS DANCE SHOES LLC	6506	EL CAJON BLVD 	D			SAN DIEGO	CA	92115-2798	N	4482	SHOE STORES	N	1/6/1984	9/30/2021	LLC	2	9	COLLEGE AREA	21	COLLEGE AREA
Y	MARCO A RODRIGUEZ & MARTHA RODRIGUEZ	CARNITAS URUAPAN FAMILY RESTAURANT	7149	EL CAJON BLVD 				SAN DIEGO	CA	92115-1828	N	72211	RESTAURANT MEXICAN FOOD	N	2/15/2019	2/28/2021	H-W	4	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	STEPHANIE CASANOVA	CASANOVA ART	5885	EL CAJON BLVD 	119			SAN DIEGO	CA	92115-3760	Y	7115	ORIGINAL ART, PRINTS AND STICKERS	N	8/1/2017	7/31/2021	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	AARSHA AUTO GROUP INC	CASH FOR CARS SAN DIEGO	6866	EL CAJON BLVD 				SAN DIEGO	CA	92115-1724	N	42111	WHOLESALE CARS	N	1/1/2015	12/31/2020	CORP	2	9	COLLEGE AREA	21	COLLEGE AREA
N	PAUL B VANDENBERG	CAST AND BRAND TATTOO COMPANY	7202	EL CAJON BLVD 	B			SAN DIEGO	CA	92115-1829	N	812196	TATTOO STUDIO	N	8/9/2016	8/31/2021	SOLE	3	9	COLLEGE AREA	21	COLLEGE AREA
Y	FREDERICK A LEPOW & ELAINE LEPOW	CDP CONSULTANTS	4857	COLLEGE AVE 	8			SAN DIEGO	CA	92115-3911	Y	54169	COMPUTER CONSULTING	Y	9/3/2020	9/30/2021	H-W	0	9	COLLEGE AREA	21	COLLEGE AREA
Y	CEG MANAGEMENT	CEG MANAGEMENT	5700	EL CAJON BLVD 				SAN DIEGO	CA	92115-3737	N	532	REAL ESTATE SERVICES	N	6/2/2017	6/30/2021	SCORP	3	9	COLLEGE AREA	21	COLLEGE AREA
N	HAMIT ARAS DDS INC	CENTER POINT DENTAL GROUP	6544	EL CAJON BLVD 				SAN DIEGO	CA	92115-2704	N	62121	DENTAL OFFICE/DENTAL SERVICE	N	12/20/2010	12/31/2020	CORP	10	9	COLLEGE AREA	21	COLLEGE AREA
N	CERAMIC HEIGHTS LLC	CERAMIC HEIGHTS LLC	5509	EL CAJON BLVD 	A			SAN DIEGO	CA	92115-3624	N	611699	POTTERY CLASSES	N	9/1/2020	8/31/2021	LLC	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
Y	WAKE N BACON LLC	CHEBA HUT TOASTED SUBS	6364	EL CAJON BLVD 				SAN DIEGO	CA	92115-2643	N	7222	TOASTED SUB SHOP.	N	7/1/2013	6/30/2021	LLC	0	9	COLLEGE AREA	21	COLLEGE AREA
N	SHAN HE	CHERRY BLOSSOM SPA	5837	EL CAJON BLVD 				SAN DIEGO	CA	92115-3741	N	81211	SKIN CARE	N	3/10/2020	3/31/2021	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	CHIPOTLE MEXICAN GRILL INC	CHIPOTLE MEXICAN  GRILL 2302	6083	EL CAJON BLVD 				SAN DIEGO	CA	92115-3844	N	72211	ACCOMODATION/FOOD SERVICES	N	10/29/2015	10/31/2021	CORP	25	9		21	COLLEGE AREA
N	CHIPOTLE MEXICAN GRILL INC	CHIPOTLE MEXICAN GRILL #2202	5500	CAMPANILE DR 				SAN DIEGO	CA	92115-1701	N	72211	FAST CASUAL MEXICAN RESTAURANT	N	3/17/2014	3/31/2021	CORP	33	9	COLLEGE AREA	21	COLLEGE AREA
N	CHUY'S TACO SHOP INC	CHUY'S TACO SHOP	6663	EL CAJON BLVD 	G			SAN DIEGO	CA	92115-2850	N	722211	FAST FOOD	N	9/18/2017	9/30/2021	CORP	2	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	KELLY CLARK	CLARK KELLY	7047	EL CAJON BLVD 				SAN DIEGO	CA	92115	N	54194	VETERINARY SERVICES	N	7/1/1974	6/30/2021	CORP	2	9	EASTERN AREA*	21	COLLEGE AREA
N	CLEAR CHOICE LIEN SERVICE INC	CLEAR CHOICE LIEN SERVICE INC	6374	EL CAJON BLVD 				SAN DIEGO	CA	92115-2643	N	541	PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES	N	11/6/1989	11/30/2020	CORP	7	9	COLLEGE AREA	21	COLLEGE AREA
N	KOUROSH KASHANI	COAST DENTAL CARE 	6585	EL CAJON BLVD 				SAN DIEGO	CA	92115-2706	N	6212	HEALTHCARE  (DENTIST) 	N	12/1/2004	11/30/2020	CORP	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	COASTDESIGN & BUILD INC	COAST ENERGY SOLUTION	6602	EL CAJON BLVD 	D			SAN DIEGO	CA	92115-2803	N	2332	GENERAL BUILDING CONTRACTOR	N	8/19/2015	8/31/2021	CORP	10	9	COLLEGE AREA	21	COLLEGE AREA
N	COINSTAR ASSET HOLDINGS LLC	COINSTAR ASSET HOLDINGS LLC	6265	EL CAJON BLVD 				SAN DIEGO	CA	92115-3917	N	812952	AUTOMATED COIN COUNTING KIOSK.	N	5/12/2017	5/31/2021	LLC	1	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	COINSTAR ASSET HOLDINGS LLC	COINSTAR ASSET HOLDINGS LLC 	6155	EL CAJON BLVD 				SAN DIEGO	CA	92115-3915	N	812952	AUTOMATED COIN COUNTING KIOSK.	N	5/12/2017	5/31/2021	LLC	1	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	COINSTAR ASSET HOLDINGS LLC	COINSTAR ASSET HOLDINGS LLC 	6670	MONTEZUMA RD 				SAN DIEGO	CA	92115-2828	N	812952	AUTOMATED COIN COUNTING KIOSK.	N	5/12/2017	5/31/2021	LLC	1	9	COLLEGE AREA	21	COLLEGE AREA
N	MITCHELL  FERENSTEIN & KRISTEN VAN MAELE	COLLEGE ANIMAL HOSPITAL	5653	EL CAJON BLVD 				SAN DIEGO	CA	92115-3736	N	54194	VETERINARY SERVICES	N	10/1/2017	9/30/2021	PARTNR	10	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	A AND B FAMILY INVESTMENT INC	COLLEGE ARCO	5111	COLLEGE AVE 				SAN DIEGO	CA	92115-2411	N	4471	GASOLINE STATIONS	N	5/1/2002	7/31/2021	CORP	4	9	COLLEGE AREA	21	COLLEGE AREA
N	COLLEGE AREA ECONOMIC DEVELOPMENT CORPORATION	COLLEGE AREA BUSINESS DISTRICT	4704	COLLEGE AVE 				SAN DIEGO	CA	92115-3905	N	81356	BUSINESS ASSISTANCE, DISTRICT PROMOTION, ECONOMIC DEVELOPMENT.	N	4/16/2018	4/30/2021	NO/PRF	0	9	COLLEGE AREA	21	COLLEGE AREA
Y	MICHAEL S SCRIVENER	COLLEGE AREA REALTY	6784	EL CAJON BLVD 	K			SAN DIEGO	CA	92115-1602	N	53111	RESIDENTIAL REAL ESTATE SALES NO RENTALS LISTINGS AND BUYERS ONLY. 	N	6/1/2016	5/31/2021	SOLE	0	9	COLLEGE AREA	21	COLLEGE AREA
N	COLLEGE AVENUE BAPTIST CHURCH	COLLEGE AVENUE BAPTIST CHURCH	4747	COLLEGE AVE 				SAN DIEGO	CA	92115-3906	N	81311	EVANGELICAL CHURCH	N	1/1/1997	12/31/2020	NO/PRF	66	9	COLLEGE AREA	21	COLLEGE AREA
N	CINDY T NGUYEN & TUAN A HO	COLLEGE BARBER & SALON	6136	EL CAJON BLVD 				SAN DIEGO	CA	92115-3914	N	812112	BARBER SHOP AND BEAUTY SALON- BOTH HUSBAND AND WIFE ARE OWNERS OF THE BUSINESS.	N	5/1/2008	4/30/2021	H-W	2	9	COLLEGE AREA	21	COLLEGE AREA
Y	COLLEGE FRESH INC	COLLEGE FRESH INC	6055	MONTEZUMA RD 				SAN DIEGO	CA	92115-2426	N	72231	FOOD SERVICE CONTRACTOR	N	8/1/2018	7/31/2021	SCORP	2	9	COLLEGE AREA	21	COLLEGE AREA
N	PHUONG NGUYEN OD	COLLEGE GROVE OPTOMETRY	4560	COLLEGE AVE 				SAN DIEGO	CA	92115-4012	N	62132	OFFICES OF OPTOMETRISTS	N	4/1/2017	3/31/2021	SOLE	2	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	MONTEZUMA ROAD ASSISTANCE LP	COLLEGE PARK AZTEC CORNER	5504	MONTEZUMA RD 	116			SAN DIEGO	CA	92115-1355	N	53131	REAL ESTATE PROPERTY RENTAL	N	8/1/2006	7/31/2021	PARTNR	0	9	COLLEGE AREA	21	COLLEGE AREA
N	SERVICEPRO INC	COLLEGE POSTAL PLUS	6161	EL CAJON BLVD 	B			SAN DIEGO	CA	92115-3987	N	492	PACK AND SHIP	N	1/2/2018	1/31/2021	SCORP	4	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	LUKICH SLAVKO	COLLEGE SMOG CHECK	4642	COLLEGE AVE 				SAN DIEGO	CA	92115-3903	N	811198	ALL OTHER AUTOMOTIVE R&M	N	2/28/1997	2/28/2021	SOLE	0	9	COLLEGE AREA	21	COLLEGE AREA
N	CUONG T LE	COLLEGE SUB SHOP	6150	EL CAJON BLVD 	A			SAN DIEGO	CA	92115-3900	N	722211	SANDWICH SHOP	N	2/10/2020	2/28/2021	SOLE	4	9	COLLEGE AREA	21	COLLEGE AREA
N	MONAJAMI FARIBORZ	COLLESE DAILY GRIND RESTAURANT	6695	EL CAJON BLVD 				SAN DIEGO	CA	92115-2802	N	722	FOOD SERVICES & DRINKING PLACES	N	1/1/2002	12/31/2020	SOLE	2	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	KATHERINE A SORO	COLOR ME KAT	6512	EL CAJON BLVD 	A			SAN DIEGO	CA	92115-2703	N	812115	HAIR SALON, HAIR STYLIST	N	3/22/2019	3/31/2021	SOLE	1	9	COLLEGE AREA	21	COLLEGE AREA
N	COMEAU RACING ENTERPRISES INC	COMEAU RACING ENTERPRISES INC 	7066	EL CAJON BLVD 	B			SAN DIEGO	CA	92115-1824	N	811111	GENERAL AUTOMOTIVE REPAIR	N	1/1/2005	12/31/2020	SCORP	1	9	COLLEGE AREA	21	COLLEGE AREA
N	COMFORT COIN LAUNDRY	COMFORT COIN LAUNDRY	6512	EL CAJON BLVD 	K			SAN DIEGO	CA	92115-2703	N	81231	COIN LAUNDRY	N	1/1/2020	12/31/2020	SCORP	1	9	COLLEGE AREA	21	COLLEGE AREA
N	COMPLETE SOLUTIONS INSURANCE SERVICES INC	COMPLETE SOLUTIONS INSURANCE SERVICES INC	5548	EL CAJON BLVD 				SAN DIEGO	CA	92115-3623	N	52421	INSURANCE SALES AGENCY 	N	8/1/2016	7/31/2021	CORP	2	9	COLLEGE AREA	21	COLLEGE AREA
N	ZUHEIR INC	COMPREHENSIVE GLASS WORKS	6950	EL CAJON BLVD 				SAN DIEGO	CA	92115-1738	N	5419	OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE	N	8/26/1991	8/31/2021	CORP	30	9	COLLEGE AREA	21	COLLEGE AREA
Y	CORBINS Q LLC	CORBINS Q	6548	EL CAJON BLVD 				SAN DIEGO	CA	92115-2704	N	81299	CATERING AND FAMERS MARKETS  HOT FOOD	N	12/22/2015	12/31/2020	LLC	0	9	COLLEGE AREA	21	COLLEGE AREA
N	HECTOR CORDOVA	CORDOVA HAIR CO	4812	70TH ST 	22			SAN DIEGO	CA	92115-3023	N	812112	HAIR SALON	N	9/8/2020	9/30/2021	SOLE	1	9	MID-CITY:EASTERN AREA              	21	COLLEGE AREA
N	PATHWAYS COMMUNITY SERVICES LLC	CORNERSTONE	6244	EL CAJON BLVD 	14			SAN DIEGO	CA	92115-3918	N	6241	INDIVIDUAL & FAMILY SERVICES	N	1/10/2001	1/31/2021	LLC	6	9	COLLEGE AREA	21	COLLEGE AREA
N	FELIPE CORTEZ	CORTEZ AUTO REPAIR	7075	EL CAJON BLVD 				SAN DIEGO	CA	92115-1825	N	811198	AUTO REPAIR	N	7/20/2004	7/31/2021	SOLE	1	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	CRAB PUB INC	CRAB PUB	6011	EL CAJON BLVD 	107			SAN DIEGO	CA	92115-3842	N	72211	RESTAURANT 	N	9/13/2015	9/30/2021	CORP	6	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	SMORE CREAMERY INC	CREAM SDSU	5157	COLLEGE AVE 	B			SAN DIEGO	CA	92115-2442	N	722213	ICE CREAM SHOP	N	1/15/2018	1/31/2021	SCORP	5	9	COLLEGE AREA	21	COLLEGE AREA
N	CSCNG LLC	CSCNG LLC	6602	EL CAJON BLVD 	F			SAN DIEGO	CA	92115-2803	N	621999	PROCESSING APPLICANTS FOR TSA SERVICES / EMPLOYER WORKPLACE DRUG COLLECTIONS	N	10/7/2019	10/31/2021	LLC	3	9	COLLEGE AREA                       	21	COLLEGE AREA
N	GIUSEPPE MONACO	CUCINA CAPRESE	4632	COLLEGE AVE 				SAN DIEGO	CA	92115-3903	Y	72232	CATERING	N	7/1/2013	6/30/2021	SOLE	1	9	COLLEGE AREA	21	COLLEGE AREA
N	JESSICA FRIEBERG & KRISTINA TAYLOR	CULTURE HAIR COLLECTIVE	6663	EL CAJON BLVD 	R			SAN DIEGO	CA	92115-2852	N	812112	HAIR SALON	N	8/1/2020	7/31/2021	PARTNR	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	GARFIELD BEACH CVS LLC	CVS/PHARMACY #9109	6265	EL CAJON BLVD 				SAN DIEGO	CA	92115-3917	N	44611	PHARMACY	N	6/2/2006	6/30/2021	LLC	27	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	ALFREDO VALENCIA	CYCLE HOUSE	6610	EL CAJON BLVD 	104			SAN DIEGO	CA	92115-2801	N	441221	RETAIL USED MOTORCYCLES	N	3/26/2015	3/31/2021	SOLE	0	9	COLLEGE AREA	21	COLLEGE AREA
Y	CYNTHIA M RAFFETY	CYNTHIA M RAFFETY	5875	EL CAJON BLVD 	203			SAN DIEGO	CA	92115-3770	N	54141	INTERIOR DESIGN SERVICES	N	6/1/2019	5/31/2021	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	ERIC DAPPER	DAPPER MOBILE BUMPER & BODY REPAIR	6161	EL CAJON BLVD 	B455			SAN DIEGO	CA	92115-3922	Y	8111	BUMPER & BODY REPAIR / BODYWORK & MECHANIC	N	5/18/2020	5/31/2021	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	DAWIT G NEGUSSE	DAWIT G NEGUSSE	6470	EL CAJON BLVD 	122			SAN DIEGO	CA	92115-2661	Y	48531	TAXI DRIVER	N	8/1/2013	7/31/2021	SOLE	0	9	COLLEGE AREA	21	COLLEGE AREA
N	DBSTATE LLC	DBSTATE LLC	6499	EL CAJON BLVD 				SAN DIEGO	CA	92115-2646	N	722	FOOD SERVICES & DRINKING PLACES	N	9/1/2015	8/31/2021	LLC	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	DEN INC	DEN ROOMMATES	6353	EL CAJON BLVD 	124			SAN DIEGO	CA	92115-2655	N	51121	ROOMMATE FINDING APPLICATION	N	10/31/2018	10/31/2021	SCORP	2		MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	DENISE D HIDDEN	DENISE D HIDDEN	4657	COLLEGE AVE 				SAN DIEGO	CA	92115-3904	N	812115	HAIR SERVICES - BOOTH RENTAL	N	1/22/2015	1/31/2021	SOLE	0	9	COLLEGE AREA	21	COLLEGE AREA
N	DIAMOND AUTO BUSINESS SALES INC	DIAMOND AUTO SALES	5625	EL CAJON BLVD 				SAN DIEGO	CA	92115-3736	N	44112	USED CAR DEALERSHIP	N	3/1/2020	2/28/2021	CORP	1	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
Y	DIANA HODGES-JACKSON	DIANA HODGES-JACKSON	6771	EL CAJON BLVD 				SAN DIEGO	CA	92115-1621	N	453998	ALL OTHER MISC STORE RETAILERS (EXC TOBACCO)	N	1/9/2015	1/31/2021	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
Y	ARMANDO JERMAN DIAZ	DIAZ'S GOLDEN AUTO SALES	7268	EL CAJON BLVD 				SAN DIEGO	CA	92115-1829	N	44112	USED AUTO SALES	Y	10/1/2020	9/30/2021	SOLE	1	9	COLLEGE AREA	21	COLLEGE AREA
Y	DO BEAUTY BOUTIQUE	DO BEAUTY BOUTIQUE	5935	EL CAJON BLVD 				SAN DIEGO	CA	92115-3827	N	812112	BEAUTY SALON	N	1/1/2017	12/31/2020	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	DOLORES GUERRERO	DOLORES GUERRERO	5617	EL CAJON BLVD 				SAN DIEGO	CA	92115-3736	N	812115	BOOTH RENTAL	N	8/4/2006	8/31/2021	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	EMILY R JOSENHANS	DOMAINE SANTE	5925	EL CAJON BLVD 	210			SAN DIEGO	CA	92115-3838	Y	445299	SELLING REPACKAGED GRAPE CONCENTRATE TO FOOD ESTABLISHMENTS AND STORES.	N	5/15/2016	5/31/2021	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	SOCAL DOMINOIDS INC	DOMINOS PIZZA #7701	5185	COLLEGE AVE 				SAN DIEGO	CA	92115-2413	N	722211	PIZZERIA RESTAURANT & BEVERAGE	N	7/29/2013	7/31/2021	CORP	10	9	COLLEGE AREA	21	COLLEGE AREA
N	ROMAN RODRIGUEZ	DON ROMAN TACO SHOP	6145	EL CAJON BLVD 	J			SAN DIEGO	CA	92115-3923	N	722211	FAST FOOD MEXICAN STYLE TACO SHOP	N	8/6/2015	8/31/2021	SOLE	3	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	GANDOLA ROBERT A	DR ROBERT A GANDOLA DDS	7125	EL CAJON BLVD 	2			SAN DIEGO	CA	92115-1851	N	62121	OFFICES OF DENTISTS	N	11/7/1988	11/30/2020	SOLE	2	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	ARY H AHMED	DREAM AUTO SALES	6602	EL CAJON BLVD 	A105			SAN DIEGO	CA	92115-2875	N	44112	USED CAR SALES	N	4/13/2018	4/30/2021	SOLE	0	9	COLLEGE AREA	21	COLLEGE AREA
N	MOHAMMAD MAZIN ELAMAIREH	DRIVE ME GROUP	6244	EL CAJON BLVD 	2			SAN DIEGO	CA	92115-3918	N	44112	USED CAR DEALERSHIP	N	4/1/2020	3/31/2021	SOLE	1	9	COLLEGE AREA	21	COLLEGE AREA
N	MOHAMMAD MAZIN NAYEF ELAMAIREH	DRIVE ME GROUP	5773	MONTEZUMA RD 				SAN DIEGO	CA	92115-2362	Y	42111	WHOLESALE CARS	N	3/29/2019	3/31/2021	SOLE	0	9	COLLEGE AREA	21	COLLEGE AREA
N	DRIVE ME GROUP LLC	DRIVE ME GROUP REGISTRATION SERVICE	6244	EL CAJON BLVD 	2			SAN DIEGO	CA	92115-3918	N	56141	REGISTRATION SERVICE	N	10/11/2019	10/31/2021	LLC	1	9	COLLEGE AREA	21	COLLEGE AREA
N	DRYWALL SPECIALTY CONTRACTORS INC	DRYWALL SPECIALTIES	6512	EL CAJON BLVD 	C			SAN DIEGO	CA	92115-2703	N	23542	DRYWALL	N	7/6/2009	7/31/2021	SCORP	25	9	COLLEGE AREA	21	COLLEGE AREA
N	SUN KIM	DUET COFFEE	6526	EL CAJON BLVD 	1			SAN DIEGO	CA	92115-2704	N	722	COFFEE SHOP	N	1/1/2016	12/31/2020	CORP	1	9	COLLEGE AREA	21	COLLEGE AREA
N	BASHAR COUNTRY MARKET & LIQUOR	DUKES LIQUOR	7029	EL CAJON BLVD 				SAN DIEGO	CA	92115-1825	N	44531	LIQUOR STORE	N	1/4/2017	1/31/2021	SCORP	1	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	BRANDON R GRAMSE/ NELLIE R DEL ROSARIO	E CIG CREATIONS	6375	EL CAJON BLVD 	C			SAN DIEGO	CA	92115-2656	N	4543	RETAIL OF ELECTRONIC CIGARETTES	N	10/21/2013	10/31/2021	PARTNR	4	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	EC TATTOO #2 LLC	EC TATTOO #2 LLC	5850	MONTEZUMA RD 				SAN DIEGO	CA	92115-2340	N	812196	TATTOOING AND PERICING & RETAIL	N	10/1/2008	9/30/2021	LLC	0	9	COLLEGE AREA	21	COLLEGE AREA
N	ECOATM LLC	ECOATM INC #0220	6670	MONTEZUMA RD 				SAN DIEGO	CA	92115-2828	N	812959	SECONDHAND DEALER KIOSK INSIDE GROCERY (SEE ATTACHED STATEMENT OF OPERATIONS)	N	9/1/2016	8/31/2021	LLC	0	9	COLLEGE AREA	21	COLLEGE AREA
Y	215 ENTERPRISES INC	EFFIN'S	6164	EL CAJON BLVD 				SAN DIEGO	CA	92115-3914	N	72241	BAR TAVEN / RESTAURANT	N	9/1/2009	2/28/2021	SCORP	12	9	COLLEGE AREA	21	COLLEGE AREA
Y	EL CAJON COLLEGE HBQ INC	EL CAJON COLLEGE HBQ INC	6083	EL CAJON BLVD 	B1			SAN DIEGO	CA	92115-3844	N	7221	RESTAURANT.	N	12/18/2017	12/31/2020	CORP	1	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	BIG DADDY'S OIL 24 INC	EL CAJON GAS & MINI MARKET	6301	EL CAJON BLVD 				SAN DIEGO	CA	92115-2642	N	44711	GAS STATION /CONVENIENCE STORE34	N	3/16/2009	3/31/2021	CORP	8	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	MIGUEL & GUADALUPE & ERIC & JESSICA SANDOVAL	EL RODEO MEXICAN FOOD	6924	EL CAJON BLVD 				SAN DIEGO	CA	92115-1738	N	7221	FULL-SERVICE RESTAURANTS	N	10/25/2000	11/30/2020	PARTNR	2	9	COLLEGE AREA	21	COLLEGE AREA
N	ELITE SECURITY AND SURVEILLANCE INC	ELECTRONIC SECURITY SYSTEMS	6350	EL CAJON BLVD 				SAN DIEGO	CA	92115-2641	N	56162	SECURITY SYSTEMS INSTALLATION  AUDIO  ACCESS CONTROL  AND SURVEILLANCE.	N	1/6/2015	12/31/2020	CORP	7	9	COLLEGE AREA	21	COLLEGE AREA
N	VALENZUELAS INC	ELSA'S KITCHEN	7022	EL CAJON BLVD 				SAN DIEGO	CA	92115-1824	N	722211	FAST FOOD RESTAURANT	N	9/6/2004	9/30/2021	CORP	0	9	COLLEGE AREA	21	COLLEGE AREA
Y	ROBERT J KOPPY	EMPIRE COLLECTIBLES	5795	EL CAJON BLVD 				SAN DIEGO	CA	92115-3738	N	454112	SELLING USED COMIC BOOKS & MAGAZINES OVER THE INTERNET OCCASIONAL SET UP AT SHOWS IN AREA	N	7/16/2012	7/31/2021	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	BIANCA M SACCO	EPIC WINGS N THINGS	5120	COLLEGE AVE 	126			SAN DIEGO	CA	92115-2445	N	722211	RESTAURANT	N	12/1/2017	11/30/2020	SOLE	30	9	COLLEGE AREA	21	COLLEGE AREA
N	EUREKA RESTAURANT GROUP LLC	EUREKA SDSU	5140	COLLEGE AVE 	111			SAN DIEGO	CA	92115-2446	N	72211	FULL SERVICE RESTAURANT	N	8/18/2017	8/31/2021	LLC	100	9	COLLEGE AREA                       	21	COLLEGE AREA
Y	EVERBOWL LLC	EVERBOWL	5120	COLLEGE AVE 	124			SAN DIEGO	CA	92115-2445	N	72221	BOWLS AND SMOOTHIES	N	1/25/2019	1/31/2021	LLC	15	9	COLLEGE AREA	21	COLLEGE AREA
N	EXCELLENCE SERVICE N TOWING INC	EXCELLENCE SERVICE N TOWING INC	6970	EL CAJON BLVD 				SAN DIEGO	CA	92115-1738	N	811111	AUTO REPAIR	N	1/1/2008	12/31/2020	CORP	0	9	COLLEGE AREA	21	COLLEGE AREA
N	EYEMAZING BEAUTY BAR	EYEMAZING BEAUTY BAR	6602	EL CAJON BLVD 	A103			SAN DIEGO	CA	92115-2875	N	81211	EYELASH EXTENSIONS	N	1/1/2018	12/31/2020	CORP	0	9	COLLEGE AREA	21	COLLEGE AREA
N	FERNANDO TAMAYO MARTINEZ	F T M MAINTNENANCE/SERVICE	7240	EL CAJON BLVD 	9			SAN DIEGO	CA	92115-1833	Y	56172	COMMERCIAL & RESIDENTIAL SERVICES	N	4/1/1995	3/31/2021	SOLE	0	9	COLLEGE AREA	21	COLLEGE AREA
N	SEMILLON INC	FAIRLANE CLEANERS	6302	EL CAJON BLVD 				SAN DIEGO	CA	92115-2641	N	8121	PERSONAL CARE SERVICES	N	6/2/1990	6/30/2021	CORP	6	9	COLLEGE AREA	21	COLLEGE AREA
N	KATHERINE SCHLEIN	FAMILY CONNECTION CHIROPRACTIC	5714	EL CAJON BLVD 				SAN DIEGO	CA	92115-3737	N	62131	CHIROPRACTOR	N	2/1/2018	1/31/2021	SOLE	0	9	COLLEGE AREA	21	COLLEGE AREA
N	FAMILY LOAN AND PAWN INC	FAMILY LOAN AND PAWN	6375	EL CAJON BLVD 	B			SAN DIEGO	CA	92115-2656	N	4533	USED MERCHANDISE STORES	N	2/24/2012	2/28/2021	SCORP	2	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
Y	TRAM B LE	FAMILY MEDICINE CLINIC	5507	EL CAJON BLVD 	L			SAN DIEGO	CA	92115-3624	N	621111	MEDICINE CLINIC.	N	12/1/2008	11/30/2020	SOLE	3	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
Y	JOSH GREENBAUM	FAMILY STYLE	6784	EL CAJON BLVD 	J			SAN DIEGO	CA	92115-1602	N	44	RETAIL	N	9/9/2019	9/30/2021	SOLE	0	9	COLLEGE AREA	21	COLLEGE AREA
Y	FAMILY STYLE INC	FAMILY STYLE INC	6784	EL CAJON BLVD 	J			SAN DIEGO	CA	92115-1602	N	72233	PIZZA DELIVERY	N	11/2/2018	11/30/2020	CORP	5	9	COLLEGE AREA	21	COLLEGE AREA
N	LASHEKITA SUTTON & DAVID GALVEZ	FANCY'S BEAUTY AND THE BEAST LOUNGE	5549	EL CAJON BLVD 				SAN DIEGO	CA	92115-3624	N	812112	BEAUTY SALON	N	1/24/2019	1/31/2021	H-W	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	NALB INC	FANTASTIC SAMS	6165	EL CAJON BLVD 	K			SAN DIEGO	CA	92115-3927	N	812112	RETAIL TRADE	N	2/7/2017	2/28/2021	CORP	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	FAST AUTO LOANS INC	FAST AUTO AND PAYDAY LOANS	6787	EL CAJON BLVD 				SAN DIEGO	CA	92115-1621	N	522291	CONSUMER LENDING	N	3/1/2012	2/28/2021	CORP	3	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	FEATHERINGILL MORTUARY	FEATHERINGILL MORTUARY	6322	EL CAJON BLVD 				SAN DIEGO	CA	92115-2641	N	81221	FUNERAL SERVICES	N	9/5/2019	9/30/2021	CORP	13	9	COLLEGE AREA	21	COLLEGE AREA
